CONCEPT				POLARITY		INTENSITY
action_nice			negative		-0.587
action_pandai			negative		-0.555
action_pelat			negative		-0.565
action_pretty			negative		-0.514
action_rich			negative		-0.569
action_romantic			negative		-0.592
action_sachok			negative		-0.606
action_sad			negative		-0.568
action_sedih			negative		-0.553
action_seksi			negative		-0.533
action_sexy			negative		-0.565
action_shuai			negative		-0.578
action_sibuk			negative		-0.591
action_slim			negative		-0.607
action_smart			negative		-0.574
action_stupid			negative		-0.571
action_sweet			negative		-0.561
action_tall			negative		-0.604
action_terror			negative		-0.581
action_young			negative		-0.575
active				positive		0.623
active_lifestyle		positive		0.557
acts_of_generosity		positive		0.552
ada_udang_di_balik_batu		negative		-0.496
ada_udang_di_balik_tong		negative		-0.635
ada_udang_di_sebalik_batu	negative		-0.562
ada_udang_di_sebalik_tong	negative		-0.573
ada_udang_sebalik_batu		negative		-0.552
ada_udang_sebalik_tong		negative		-0.627
add				positive		0.484
addict				negative		-0.628
addiction			negative		-0.227
addictive			negative		-0.527
address_term			positive		0.61
admirable			positive		0.616
admirable_quality		positive		0.568
admiration			positive		0.518
admire				positive		0.618
admonish			negative		-0.526
admonishment			negative		-0.573
adoi				negative		-0.598
adorable			positive		0.576
adored				positive		0.593
adultery			negative		-0.582
advantage			positive		0.599
adventure			positive		0.509
adventurer			positive		0.655
adversity			negative		-0.574
advertisement			positive		0.568
advice_ignored			negative		-0.609
aeroplane			positive		0.569
afbf				negative		-0.577
affair				negative		-0.49
affect_chinese_male		negative		-0.547
affection			positive		0.614
affectionate			positive		0.562
affirm				positive		0.545
affirmation			positive		0.616
affirmative			positive		0.583
affordable			positive		0.536
after_childbirth		negative		-0.597
after_fasting			positive		0.549
agak				positive		0.516
agak_agak			positive		0.62
agak_tarik			negative		-0.239
agakration			positive		0.555
agar				positive		0.554
agar_agar			positive		0.578
agar_agar_fnb			positive		0.625
agaration			positive		0.57
aged				positive		0.582
aggrandize			positive		0.555
aggravate			negative		-0.599
aggravated			negative		-0.603
aggravating			negative		-0.598
aggraviate			negative		-0.539
aggressive			negative		-0.6
agile				positive		0.476
agitate				negative		-0.568
agitated			negative		-0.514
agonizing			negative		-0.53
agree				positive		0.545
agreeable			positive		0.62
agreeable_amount		positive		0.57
agreement			positive		0.66
ah_balling			positive		0.561
ah_beng				negative		-0.608
ah_bengfied			negative		-0.6
ah_bing_ge			positive		0.605
ah_bu				positive		0.554
ah_bu_neh_neh			negative		-0.656
ah_chek				positive		0.566
ah_chew				negative		-0.58
ah_dou				negative		-0.579
ah_gong				positive		0.621
ah_huay				negative		-0.528
ah_huey_fnb			positive		0.57
ah_huey_shio			positive		0.518
ah_ka_liau			positive		0.505
ah_kah				negative		-0.521
ah_kah_ah_chew			negative		-0.571
ah_kah_chiew_ji			positive		0.568
ah_kah_liau			positive		0.633
ah_kow				negative		-0.489
ah_kua				negative		-0.557
ah_kun				negative		-0.652
ah_kwa				negative		-0.623
ah_lian				negative		-0.526
ah_lianified			negative		-0.55
ah_long				negative		-0.243
ah_long_san			negative		-0.211
ah_ma				positive		0.574
ah_meng				negative		-0.623
ah_mm				positive		0.602
ah_neh				negative		-0.571
ah_nia				positive		0.6
ah_pa				positive		0.511
ah_pek				negative		-0.55
ah_pek_add			positive		0.524
ah_pek_aiskrim			positive		0.558
ah_pek_ice_cream		positive		0.662
ah_pooi				negative		-0.512
ah_seng				negative		-0.613
ah_sia_bu			negative		-0.546
ah_sia_kia			negative		-0.555
ah_soh				negative		-0.485
ah_soh_add			positive		0.617
ah_then				negative		-0.587
ah_tiong			negative		-0.588
ah_tiong_bu			negative		-0.609
ah_tiong_bu_de_cheese_pie_jin_ho_jiak	positive		0.52
ah_umm				positive		0.502
ahbh				negative		-0.631
ai_beng_beh_beng		negative		-0.515
ai_beng_buay_beng		negative		-0.64
ai_bin				negative		-0.577
ai_gia_steady_mai		positive		0.544
ai_jiak_zua_mai			positive		0.587
ai_lian_beh_lian		negative		-0.582
ai_lian_buay_lian		negative		-0.519
ai_mian_zi			negative		-0.537
ai_pee_ai_chee			negative		-0.559
ai_pee_ai_chee_ai_gin_chu_bi	negative		-0.593
ai_pee_ai_chee_ai_kin_ai_tua_liap	negative		-0.508
ai_pee_ai_chee_ai_tua_bi_bi	negative		-0.551
ai_pee_ai_chee_ai_tua_liap_nee	negative		-0.554
ai_pee_ai_chee_koh_ai_tua_liap_nee	negative		-0.612
ai_piak_piak_mai		positive		0.547
ai_see				negative		-0.284
ai_see_buay_see			negative		-0.234
ai_sio_gan_mai			positive		0.557
ai_swee				positive		0.578
ai_swee_mai_mia			negative		-0.534
ai_zai				positive		0.553
ailing				negative		-0.592
aim				positive		0.55
aimless				negative		-0.22
air_batu_campur			positive		0.479
air_con				positive		0.586
air_dried			positive		0.57
air_jarang			positive		0.568
air_kendi			positive		0.567
air_level			negative		-0.562
air_paip			positive		0.557
air_panas			positive		0.487
air_panas_suam			positive		0.507
air_sejuk			positive		0.504
air_suam			positive		0.55
airhead				negative		-0.611
aiseh				positive		0.588
aiseh_bedah			positive		0.596
aiseh_dude			positive		0.527
aiseh_man			positive		0.574
aiskrim_ah_pek			positive		0.635
aiskrim_roti			positive		0.585
aiskrim_uncle			positive		0.58
aiskrim_unker			positive		0.594
aiyah				negative		-0.591
aiyoh				negative		-0.511
aiyoyo				negative		-0.576
aiyu_jelly			positive		0.516
ajak_ajak_ayam			negative		-0.55
akal_kolot			negative		-0.535
akan_datang			positive		0.508
akasai				negative		-0.541
akka				positive		0.586
alamak				positive		0.333
alarm				negative		-0.478
alcohol				positive		0.554
alcohol_free			positive		0.586
alcoholic			negative		-0.614
alcoholic_product		negative		-0.576
alert				positive		0.535
alert_someone			negative		-0.615
alhamdu_lillahi_rabbil_alamin	positive		0.534
alhamdulillah			positive		0.557
ali_baba			negative		-0.538
ali_baba_bag			positive		0.569
all_fart_and_no_shit		negative		-0.533
all_fart_no_shit		negative		-0.553
all_is_fine			positive		0.582
all_right			positive		0.635
allahuakbar			positive		0.619
allegiance			positive		0.524
allowed				positive		0.645
alluring			positive		0.591
aloof				negative		-0.518
already				positive		0.511
also_boleh			positive		0.544
also_can			positive		0.66
alternative			positive		0.562
altruistic			positive		0.532
amacam				positive		0.616
amateur				negative		-0.523
amazed				positive		0.612
amazement			positive		0.59
amazing				positive		0.503
ambilla_labu			positive		0.491
ambivalent			negative		-0.599
amble				positive		0.591
amen				positive		0.581
america_born_chinese		negative		-0.529
america_born_cina		negative		-0.567
american_born_chinese		negative		-0.633
american_born_cina		negative		-0.651
amin				positive		0.616
amiss				negative		-0.548
amma				positive		0.559
amoi				positive		0.574
amorous				negative		-0.648
amputate			negative		-0.574
amusing				positive		0.624
an_zhua				positive		0.492
anak_dara_tua			negative		-0.537
anal				negative		-0.591
anarchy				positive		0.624
anchovy				positive		0.579
ancient				negative		-0.582
andy_lau			positive		0.617
aneh				negative		-0.604
ang_geh				positive		0.61
ang_ji_gao			positive		0.631
ang_ki_ki			positive		0.612
ang_kong			negative		-0.66
ang_kong_kong			positive		0.607
ang_kong_siao			negative		-0.583
ang_ku_kueh			positive		0.541
ang_moh				negative		-0.582
ang_moh_dua_ki			negative		-0.475
ang_moh_dua_liap		negative		-0.618
ang_moh_gao			negative		-0.604
ang_moh_gao_gao			negative		-0.61
ang_moh_gao_sai			negative		-0.478
ang_moh_gui			negative		-0.608
ang_moh_pai			negative		-0.551
ang_moh_sai			negative		-0.497
ang_pai				positive		0.573
ang_tao_chu_loot		negative		-0.645
ang_tao_peng			positive		0.593
angan_angan			negative		-0.533
angau				negative		-0.569
angau_cinta			negative		-0.541
anger				negative		-0.627
anger_issue			negative		-0.575
angin_satu_badan		negative		-0.571
angkat				negative		-0.563
angkat_bola			negative		-0.63
angkoli				positive		0.517
anglophone_singaporean		negative		-0.567
angpow				positive		0.621
angry				negative		-0.511
anguish				negative		-0.572
angwee				negative		-0.546
animal-shaped			positive		0.557
animal_print			negative		-0.594
animosity			negative		-0.594
anjack				negative		-0.601
anjing				negative		-0.522
anneh				positive		0.559
annoyance			negative		-0.565
annoyed				negative		-0.643
annoying			negative		-0.566
annual_celebration		positive		0.53
annul				negative		-0.628
anoneh				positive		0.584
anpai				negative		-0.256
answer_randomly			negative		-0.588
anti_establishment		negative		-0.63
anti_social			negative		-0.584
anticipate			negative		-0.206
anticipate_the_worst		negative		-0.246
anus				negative		-0.543
anxiety				negative		-0.494
anxious				negative		-0.223
any_o_how			negative		-0.532
anyhow				negative		-0.598
anyhow_bedal			negative		-0.539
anyhow_cakap			negative		-0.544
anyhow_hentam			negative		-0.49
anyhow_rembat			negative		-0.6
anyhow_whack			negative		-0.572
apa_tengok_tengok		negative		-0.58
apam				positive		0.521
apam_balik			positive		0.567
apam_manja			positive		0.529
apathetic			negative		-0.612
apollo_chocolate_wafer		positive		0.563
apollo_layer_cake		positive		0.553
apollo_stick_wafer		positive		0.522
apologetic			negative		-0.534
apom				positive		0.574
appa				positive		0.555
appalled			negative		-0.606
appalling			negative		-0.528
appeal				positive		0.477
appealing			positive		0.596
appease_deceased		negative		-0.611
appease_spirit			negative		-0.495
appeased			positive		0.512
appetizer			positive		0.604
appreciate			positive		0.534
appreciation			positive		0.526
appreciative			positive		0.563
apprehensive			negative		-0.579
apprentice			negative		-0.605
approachable			positive		0.566
appropriate_look		positive		0.574
approve_substitute		positive		0.66
approximation			positive		0.57
ar_ka_chi			negative		-0.615
arab_cuisine			positive		0.648
arabic_language			positive		0.493
arbo				negative		-0.542
arbr				negative		-0.603
arbuden				negative		-0.591
ardeh				negative		-0.545
arduous_task			negative		-0.526
argable				positive		0.503
argly				negative		-0.576
argue				negative		-0.545
armed_forces			negative		-0.486
armored_regiment		positive		0.578
army_enlistment			positive		0.559
army_mate			positive		0.571
army_personnel			positive		0.585
army_regular			negative		-0.572
army_specialist			positive		0.502
army_unit			negative		-0.6
arnoh				negative		-0.611
aromatic			positive		0.628
aromatic_rice			positive		0.564
aroused				positive		0.557
arousing			positive		0.596
arrest				negative		-0.591
arrogant			negative		-0.581
arrow				negative		-0.54
arse_luck			negative		-0.574
arsehole			negative		-0.544
art_buah			positive		0.532
articulate			positive		0.635
artillery			positive		0.585
arty				positive		0.585
as_if				negative		-0.61
asal_boleh_aja			negative		-0.514
asal_boleh_aje			negative		-0.518
asal_boleh_bedal		negative		-0.61
asal_boleh_cakap		negative		-0.516
asal_boleh_hentam		negative		-0.545
asal_boleh_ja			negative		-0.599
asal_boleh_rembat		negative		-0.581
asal_boleh_saja			negative		-0.487
asal_boleh_whack		negative		-0.595
asam				positive		0.582
asam_masam			positive		0.641
asam_masam_manis		positive		0.571
asbs				negative		-0.512
ashamed				negative		-0.563
asian_beverage			positive		0.653
asian_cuisine			positive		0.583
asian_female_fetish		negative		-0.562
asian_mother			negative		-0.569
ask_favour			positive		0.594
ask_for_trouble			negative		-0.284
ask_reinforcement		negative		-0.503
aspiration			positive		0.557
ass				negative		-0.577
assam				positive		0.629
assam_laksa			positive		0.549
assam_pedas			positive		0.558
assault				negative		-0.644
assclown			negative		-0.562
assert				positive		0.507
assertive			positive		0.616
assess_people			negative		-0.511
assign				negative		-0.54
assorted_flavor			positive		0.604
assortment			positive		0.537
assurance			positive		0.51
astonish			negative		-0.273
astonished			positive		0.565
astonishment			negative		-0.558
astounding			positive		0.617
at				negative		-0.588
at_ease				positive		0.563
at_your_own_discretion		positive		0.598
atas				positive		0.589
atas_ppl			negative		-0.533
atbt				negative		-0.499
athletes_foot			negative		-0.564
attack				negative		-0.614
attap_chee			positive		0.53
attention			positive		0.477
attention-seeking		negative		-0.511
attention_grabbing		positive		0.576
attention_seeker		negative		-0.611
attitude			negative		-0.552
attract				positive		0.523
attract_attention		negative		-0.625
attracted			positive		0.609
attractive_man			positive		0.533
auction				positive		0.629
audacious			negative		-0.552
aunt				positive		0.504
auntie				negative		-0.531
auntie_add			positive		0.486
auntiefied			negative		-0.553
aunty				negative		-0.549
auspicious			positive		0.523
auspicious_amount		positive		0.621
authentic			positive		0.498
authoritarian			negative		-0.508
authority			negative		-0.256
authorized			positive		0.645
autobot				negative		-0.601
avaricious			negative		-0.536
average				negative		-0.499
average_difficulty		positive		0.627
aversion			negative		-0.486
avoid_argument			negative		-0.525
avoid_attention			positive		0.604
avoid_heat			positive		0.586
avoid_people			negative		-0.514
avoid_problem			positive		0.604
avoid_responsibility		negative		-0.629
avoid_shame			positive		0.489
avoid_superior			negative		-0.565
avoid_trouble			negative		-0.551
avoid_unpleasant_task		positive		0.604
avoid_work			negative		-0.543
aware				positive		0.518
aware_of_consequence		positive		0.603
awe				positive		0.59
aweful				negative		-0.601
awek				positive		0.541
awesome				positive		0.528
awestruck			positive		0.527
awful				negative		-0.599
awkward				negative		-0.606
awkward_joke			negative		-0.588
awol				negative		-0.577
ayam				negative		-0.596
ayam_buah_keluak		positive		0.664
ayam_fnb			positive		0.619
ayam_kampung			positive		0.47
ayam_penyek			positive		0.536
ayam_penyet			positive		0.575
ayam_percik			positive		0.51
ayam_sio			positive		0.625
ayam_tandoori			positive		0.503
ayya				positive		0.579
ba_alif_ba_ya			negative		-0.551
ba_zhang			positive		0.566
baba_malay			positive		0.509
baba_nyonya			positive		0.528
babe				positive		0.591
babi				negative		-0.576
babi_pongteh			positive		0.597
babi_poyo			negative		-0.602
babu_singh			negative		-0.625
baby				positive		0.591
bacin				negative		-0.587
back_up_plan			positive		0.66
backside			negative		-0.577
backside_itchy			negative		-0.556
backstab			negative		-0.585
backtrack			negative		-0.527
backup				positive		0.562
backward			negative		-0.612
bad				negative		-0.542
bad_acting_skill		negative		-0.626
bad_advice			negative		-0.593
bad_assumption			negative		-0.615
bad_attitude			negative		-0.552
bad_characteristic		negative		-0.526
bad_coffee			negative		-0.483
bad_consequence			negative		-0.559
bad_decision			negative		-0.528
bad_dream			negative		-0.518
bad_drinking_habit		negative		-0.579
bad_experience			negative		-0.238
bad_fall			negative		-0.561
bad_fashion			negative		-0.562
bad_fashioned			negative		-0.566
bad_figure			negative		-0.523
bad_football_skill		negative		-0.589
bad_habit			negative		-0.534
bad_haircut			negative		-0.544
bad_influence			negative		-0.598
bad_intention			negative		-0.58
bad_investment			negative		-0.578
bad_joke			negative		-0.543
bad_karma			negative		-0.62
bad_language_skill		negative		-0.523
bad_luck			negative		-0.55
bad_mannerism			negative		-0.542
bad_manners			negative		-0.528
bad_mood			negative		-0.581
bad_navigation			negative		-0.595
bad_odor			negative		-0.588
bad_outcome			negative		-0.599
bad_purchase			negative		-0.482
bad_reputation			negative		-0.514
bad_singing			negative		-0.53
bad_singing_ability		negative		-0.576
bad_situation			negative		-0.599
bad_skin			negative		-0.56
bad_sounding			positive		0.575
bad_taste			negative		-0.549
bad_temper			negative		-0.575
bad_terms			negative		-0.588
bad_timing			negative		-0.634
badan_berg			positive		0.553
badan_kering_kontang		negative		-0.576
badly_behaved			negative		-0.616
badly_drawn_eyebrow		negative		-0.501
baduvaa				negative		-0.629
bae				positive		0.591
baffled				negative		-0.59
baffling_behavior		negative		-0.609
bag_of_balls			negative		-0.499
baghal				negative		-0.567
bagus				positive		0.624
bahlul				negative		-0.611
bai_fu_mei			positive		0.622
bai_wulong			negative		-0.595
baik				positive		0.499
baik_hati			positive		0.552
bak_chang			positive		0.584
bak_chew_ang			negative		-0.554
bak_chew_tah_sai		negative		-0.645
bak_chew_tah_stamp		negative		-0.567
bak_chor_mee			positive		0.572
bak_kua				positive		0.621
bak_kut_teh			positive		0.612
bake				positive		0.627
bake_in_oven			positive		0.548
bakero				negative		-0.517
bakwan_kepiting			positive		0.571
bald				negative		-0.587
balderdash			negative		-0.616
balik				positive		0.545
balik_kampung			positive		0.568
ball-shaped			positive		0.528
ball_game			positive		0.526
balls				negative		-0.532
balls_drop			negative		-0.542
balls_shrink			negative		-0.617
balmy				negative		-0.54
bamboo				positive		0.549
bamboo_leaf			positive		0.558
bamboo_shoot			positive		0.571
bamboo_tube			positive		0.525
ban				negative		-0.65
ban_mian			positive		0.528
banana				negative		-0.521
banana_child			negative		-0.516
banana_fritter			positive		0.596
banana_leaf			positive		0.584
banana_prata			positive		0.524
bandage				positive		0.597
bandung				positive		0.524
bandung_dinosaur		positive		0.563
bandung_godzilla		positive		0.625
bang				negative		-0.545
bang_ball			negative		-0.549
bang_balls			negative		-0.611
bangang				negative		-0.583
bangap				negative		-0.532
bangga				positive		0.616
bangga_hati			positive		0.533
bangkai				negative		-0.611
bangla				negative		-0.57
bangsat				negative		-0.552
banjar_laksa			positive		0.516
bankrupt			negative		-0.553
banned_from_discussion		negative		-0.573
banquet				positive		0.6
banquet_of_dishes		positive		0.618
bantai				negative		-0.611
bantal_busuk			positive		0.558
banyak_cakap			negative		-0.587
banyak_colok			negative		-0.525
banyak_mulut			negative		-0.509
bao_fa_hu			negative		-0.589
bao_sua_bao_hai			negative		-0.531
baobei				positive		0.567
bapak_lu			negative		-0.563
bapok				negative		-0.556
bar				positive		0.537
barang				positive		0.609
barang_barang			positive		0.627
barbarous			negative		-0.53
barbecue			positive		0.621
barbeque_sauce			positive		0.618
barbeques_pork			positive		0.588
bare				negative		-0.587
bargain				positive		0.5
barley_drink			positive		0.476
barren				negative		-0.587
baru				positive		0.549
basic_academic_learning		positive		0.524
basic_information		positive		0.559
basic_military_training		positive		0.536
basil				positive		0.617
basket				negative		-0.633
basketball_court		negative		-0.494
basmati_rice			positive		0.573
bastard				negative		-0.634
bat_po				negative		-0.539
batik				positive		0.548
batu_api			negative		-0.538
bazaar				positive		0.62
bazaar_ramadhan			positive		0.576
bazir				negative		-0.552
bcac				negative		-0.525
bcf				negative		-0.608
bean				positive		0.578
bean_curd			positive		0.526
bean_curd_skin			positive		0.508
bean_curd_strip			positive		0.524
bean_sprout			positive		0.557
bean_sprouts			positive		0.541
bean_thread_noodles		positive		0.494
beancurd_skin			positive		0.508
beancurd_strip			positive		0.508
bear				negative		-0.511
bear-shaped			positive		0.617
beat_up				negative		-0.517
beaten_up			negative		-0.531
beautiful			positive		0.524
beautiful_woman			positive		0.57
beauty				positive		0.588
beauty_obsession		negative		-0.534
bedal				negative		-0.546
bedek				negative		-0.514
bedek_kacang			negative		-0.566
bedok_bedok			positive		0.613
bee_hoon			positive		0.518
bee_hoon_pattaya		positive		0.478
bee_koh				positive		0.556
bee_see				positive		0.614
bee_tai_bak			positive		0.572
beef				positive		0.514
beef_ball			positive		0.549
beef_floss			positive		0.541
beef_jerky			positive		0.65
beef_rendang			positive		0.527
beef_serunding			positive		0.541
beef_smore			positive		0.514
beef_stew			positive		0.628
beer				positive		0.554
beer_gao			positive		0.582
beethoven			negative		-0.479
befall				negative		-0.238
befitting			positive		0.574
befriend			positive		0.552
beg				negative		-0.515
beggar				negative		-0.565
beggars_chicken			positive		0.54
beh_gum				negative		-0.513
beh_hiao			negative		-0.621
beh_hiao_bai			negative		-0.56
beh_hoo				negative		-0.51
beh_hoon			negative		-0.541
beh_hoon_kia			negative		-0.595
beh_kan				negative		-0.586
beh_kia_nang			positive		0.576
beh_kia_nang_tu_lan		positive		0.595
beh_kum_guan			negative		-0.569
beh_pai				positive		0.599
beh_paiseh			negative		-0.509
beh_piao			positive		0.619
beh_song			negative		-0.552
beh_steady			negative		-0.647
beh_steali			negative		-0.527
beh_tank			negative		-0.557
beh_tong			negative		-0.646
beh_yau_kin			positive		0.641
behead				negative		-0.621
beholden			positive		0.563
belacan				positive		0.571
belah				negative		-0.496
belakang_mari			positive		0.562
belanja				positive		0.596
belasah				negative		-0.647
belcube				positive		0.602
bell_curve_god			positive		0.607
belligerent			negative		-0.6
below_standard			negative		-0.527
bend				negative		-0.65
benefit				positive		0.52
benefits_package		positive		0.524
benevolent			positive		0.632
beng				negative		-0.583
bengalis			negative		-0.588
bengang				negative		-0.577
bengap				negative		-0.535
bengfied			negative		-0.531
bengkok				negative		-0.616
benglish			negative		-0.531
bengong				negative		-0.534
bent				negative		-0.616
berak				negative		-0.576
berambus			negative		-0.519
berangan			negative		-0.584
berani_buat_berani_tanggung	negative		-0.557
berat_hati			negative		-0.632
berat_mulut			negative		-0.584
berat_sebelah			negative		-0.564
berat_tulang			negative		-0.55
berate				negative		-0.577
berbelah_bagi			negative		-0.553
berbual_slang			negative		-0.537
berfoya_foya			negative		-0.587
berg				positive		0.661
bergedel			positive		0.565
berhutang_budi			positive		0.563
bermuka_dua			negative		-0.565
bermuka_muka			negative		-0.537
berterima_kasih			positive		0.508
beruk				negative		-0.505
besar_hati			positive		0.583
besar_kepala			negative		-0.555
best				positive		0.639
best_avoided			negative		-0.608
best_wishes			positive		0.531
bet				negative		-0.605
betawi_laksa			positive		0.58
betina				negative		-0.629
betray				negative		-0.635
betrayal			negative		-0.543
better_cover_car_chng		negative		-0.551
beverage			positive		0.617
beware				negative		-0.246
bewildered			negative		-0.547
beyond_comparison		positive		0.639
beyond_control			negative		-0.21
beyond_help			negative		-0.63
bgr				positive		0.61
bhai				negative		-0.56
bhai_si_mi_sek			negative		-0.478
bhai_toncet			negative		-0.601
biadap				negative		-0.495
bian_tai			negative		-0.612
bian_tai_shu_shu		negative		-0.598
bianhae				negative		-0.572
bianhaeyo			negative		-0.592
bianhamida			negative		-0.477
bianhamnida			negative		-0.497
biar_betik			negative		-0.289
biar_betul			negative		-0.265
bias				negative		-0.586
biased				negative		-0.566
biased_news			negative		-0.543
big-sized			positive		0.544
big_bosom			positive		0.604
big_breast			positive		0.66
