CONCEPT				POLARITY		INTENSITY
do_not				negative		-0.583
do_not_delay			negative		-0.576
do_not_panic			positive		0.486
do_not_want			negative		-0.554
do_not_worry			positive		0.475
do_stupid_thing			negative		-0.556
dodge_task			negative		-0.522
dodgeball			positive		0.554
dodgy				negative		-0.527
dodol				positive		0.558
dodol_china			positive		0.584
dodol_durian			positive		0.546
dodol_nangka			positive		0.617
dodol_sirsak			positive		0.526
dodol_susu			positive		0.584
dog				negative		-0.522
dol				negative		-0.595
domestic_help			positive		0.56
dominant			negative		-0.517
domineering			negative		-0.571
done				positive		0.568
dong_zhi			positive		0.622
dont_hew			negative		-0.543
dont_like			negative		-0.333
dont_play_a_fool		negative		-0.596
dont_play_play			negative		-0.522
dont_want_done			negative		-0.577
doraemon			positive		0.58
dosa				negative		-0.595
dot_dot_dot			negative		-0.543
dote				positive		0.546
double_celebration		positive		0.526
double_confirm			positive		0.518
double_decker			positive		0.579
doubt				negative		-0.253
doubtful			negative		-0.215
dough_strip			positive		0.633
dough_wrap			positive		0.58
dowan_done			negative		-0.545
download			positive		0.573
downtrodden			negative		-0.555
downward_mobility		negative		-0.547
dragon				positive		0.498
dragon_boat_festival		positive		0.566
dragon_boat_race		positive		0.566
dragon_dance			positive		0.498
drain_hole			negative		-0.598
drama				negative		-0.527
drama_mama			negative		-0.536
draw_attention			positive		0.579
dreadful			negative		-0.565
drench				negative		-0.545
dress_inappropriately		negative		-0.575
dress_smartly			positive		0.545
dress_well			positive		0.507
dried				positive		0.579
dried_bean_curd			positive		0.571
dried_fig			positive		0.555
dried_fish			positive		0.559
dried_fish_fillet		positive		0.531
dried_fish_strip		positive		0.559
dried_fruit			positive		0.571
dried_melon_seed		positive		0.56
dried_olive			positive		0.625
dried_prawn			positive		0.527
dried_raisin			positive		0.61
dried_tofu_skin			positive		0.604
drill				negative		-0.528
drilled				negative		-0.587
drink				positive		0.584
drink_beer			negative		-0.504
drink_server			positive		0.584
drink_stall			positive		0.611
drink_tea			positive		0.615
drinking			positive		0.532
drinking_session		negative		-0.604
drop_out			negative		-0.582
drop_twenty			negative		-0.604
drowsy				negative		-0.23
drug				negative		-0.527
drug_addict			negative		-0.585
drug_trafficker			negative		-0.559
drugery				negative		-0.539
drunk				negative		-0.559
drunkard			negative		-0.529
drunken_chicken			positive		0.562
drunken_prawn			positive		0.58
drunken_shrimp			positive		0.591
dry				positive		0.63
dry_fried_prawn			positive		0.572
dry_gravy			positive		0.605
dry_noodles			positive		0.615
du_lan				negative		-0.636
dua_neh_bu			positive		0.604
dua_neh_neh			positive		0.66
dua_pai				positive		0.482
dua_pao_sian			negative		-0.6
dua_suay_bak			negative		-0.565
dua_suay_liap			negative		-0.569
duanwu_festival			positive		0.579
dubious				negative		-0.531
dubious_style			negative		-0.601
duck				negative		-0.485
dude				positive		0.513
duduk_rumah_besarkan_badan	negative		-0.538
duduk_rumah_besarkan_buntut	negative		-0.617
duduk_rumah_besarkan_konek	negative		-0.549
duduk_rumah_besarkan_perut	negative		-0.515
duduk_rumah_besarkan_punggung	negative		-0.565
duduk_rumah_besarkan_tetek	negative		-0.6
duduk_rumah_diam_diam		negative		-0.567
duduk_rumah_jual_anggur		negative		-0.567
duffel_bag			positive		0.569
duit_raya			positive		0.53
duku				positive		0.535
duku_langsat			positive		0.614
dukun				negative		-0.609
dull				negative		-0.539
dull_witted			negative		-0.571
dum_briyani			positive		0.61
dumb				negative		-0.571
dumb_ass			negative		-0.563
dumbfounded			negative		-0.559
dumbo				negative		-0.571
dump				negative		-0.505
dumpling			positive		0.526
dumpling_festival		positive		0.598
dumpling_with_filling		positive		0.584
dungu				negative		-0.578
duo_gao				negative		-0.276
dupe				negative		-0.571
durable				positive		0.569
durian				positive		0.591
durian_pop_corn			positive		0.562
dwarf				negative		-0.526
ear-shaped			positive		0.516
ear_biscuit			positive		0.532
ear_piercing			negative		-0.259
early_early_never_say		negative		-0.512
earn_a_living			positive		0.611
earnest				positive		0.631
earnest_living			positive		0.645
earnest_request			negative		-0.515
easily_flattered		positive		0.503
easily_intimidated		negative		-0.596
easily_pleased			positive		0.503
easily_wounded			negative		-0.509
easy				positive		0.519
easy-going			positive		0.552
easy_going			positive		0.473
easy_life			positive		0.574
easy_task			positive		0.569
easy_to_handle			positive		0.525
eat				positive		0.564
eat_air				positive		0.586
eat_die_me			negative		-0.618
eat_dirt			negative		-0.567
eat_drink_man_woman		positive		0.52
eat_dumpling			positive		0.598
eat_grass			negative		-0.617
eat_heartily			positive		0.61
eat_ones_fill			positive		0.599
eat_salt			negative		-0.52
eat_shit			negative		-0.565
eat_snake			negative		-0.568
eat_taik			negative		-0.592
eat_too_much			negative		-0.19
eavesdrop			negative		-0.508
eclectic_mix			positive		0.5
economic_rice			positive		0.529
economy_rice			positive		0.511
ecstasy				positive		0.333
ecstatic			positive		0.586
edible_fruit			positive		0.555
edible_wrapper			positive		0.513
edmw				positive		0.554
edmwer				positive		0.554
educated			positive		0.619
education			negative		-0.476
ee_fu_noodles			positive		0.651
ee_mee				positive		0.62
ee_mian				positive		0.558
eee				negative		-0.547
eel				positive		0.533
eerie				negative		-0.192
eeyer				negative		-0.486
eff_off				negative		-0.573
eff_you				negative		-0.571
efficient			positive		0.625
efficient_worker		positive		0.544
effort				positive		0.567
effortful			negative		-0.548
effortless			positive		0.569
egg				positive		0.547
egg_ball			positive		0.529
egg_noodles			positive		0.557
egg_onion_prata			positive		0.554
egg_prata			positive		0.537
egg_wafer			positive		0.559
egg_yolk			positive		0.603
ego				negative		-0.591
egocentric			negative		-0.581
egoistic			negative		-0.59
eh_hello			negative		-0.571
eh_hiao				positive		0.518
eh_hiao_cho_lang		positive		0.662
eh_sai				positive		0.56
eh_sai_bo			negative		-0.261
eid				positive		0.525
eighties_music			positive		0.582
ejaculation			positive		0.541
eksi				negative		-0.593
eksi_borak			negative		-0.566
elated				positive		0.586
elbow_neck			negative		-0.621
elder				positive		0.574
elder_brother			positive		0.518
elder_friend			positive		0.553
elder_male			positive		0.524
elder_man			positive		0.566
elder_relative			positive		0.553
elder_sister			positive		0.586
elderly				positive		0.582
elderly_man			negative		-0.55
elderly_woman			negative		-0.563
eldest_brother			positive		0.545
electro_mat			negative		-0.562
electro_minah			negative		-0.512
elementary			positive		0.524
elephant			negative		-0.595
eliminate_fear			positive		0.62
elumbukoodu			negative		-0.589
emasculate			negative		-0.558
emasculated			negative		-0.574
embarassing			negative		-0.638
embarassment			negative		-0.611
embarrass			negative		-0.607
embarrassed			negative		-0.622
embarrassing			negative		-0.517
emergency			negative		-0.478
emo				negative		-0.605
emotional			negative		-0.57
emotional_instability		negative		-0.528
emotional_scar			negative		-0.568
emotionally_hurt		negative		-0.635
emotionless			negative		-0.556
empathize			negative		-0.524
emphasis			negative		-0.589
empty_headed			negative		-0.563
empty_promise			negative		-0.553
empty_talk			negative		-0.555
encik				positive		0.587
encourage			positive		0.545
end_argument			negative		-0.483
end_discussion			negative		-0.525
end_matter			negative		-0.484
end_of_discussion		negative		-0.623
endearment			positive		0.573
endearment_term			positive		0.591
ended				positive		0.554
endless_argument		negative		-0.62
endless_wait			negative		-0.551
endless_work			negative		-0.592
endorse				positive		0.507
endurable			positive		0.497
endurance			positive		0.549
endure				negative		-0.511
endure_hardship			positive		0.516
energetic			positive		0.618
energy_drink			positive		0.521
eng_eng_cheng_cheng		positive		0.52
english_accent			negative		-0.589
enhance_flavor			positive		0.586
enhance_flavour			positive		0.599
enjoy				positive		0.584
enjoy_life			positive		0.555
enjoyable			positive		0.614
enlighten			positive		0.631
ennui				negative		-0.557
enough_time_to_prepare		positive		0.598
enraged				negative		-0.528
entangled			negative		-0.606
entertain			positive		0.562
entertaining			positive		0.624
entertainment			positive		0.573
enthu				positive		0.333
enthusiastic			positive		0.635
enticing			positive		0.559
entrepreneur			positive		0.655
envious				negative		-0.587
eppadi_irukkinga		positive		0.6
equal_amount			positive		0.558
equality			positive		0.574
er_duo_bing			positive		0.516
erase_error			positive		0.579
erotic				negative		-0.514
errand_boy			negative		-0.547
erroneous			negative		-0.566
ersatz				negative		-0.539
eruma_maadu			negative		-0.515
erxin				negative		-0.602
erxin_dabian			negative		-0.661
escape				negative		-0.551
escape_boredom			positive		0.654
escape_punishment		negative		-0.573
eskew_me			negative		-0.602
essential			positive		0.495
estate_agent			positive		0.495
estimate			positive		0.57
euphemism			negative		-0.562
euphoria			positive		0.586
eurasian_cuisine		positive		0.571
evade_responsibility		negative		-0.56
evade_work			negative		-0.582
evaporated_milk			positive		0.576
evidence			positive		0.578
evil				negative		-0.648
evil_deed			negative		-0.564
evil_spirit			negative		-0.609
evoke_anger			negative		-0.597
ew				negative		-0.333
ex				negative		-0.603
exacerbate			negative		-0.568
exact				positive		0.57
exactly				positive		0.528
exaggerate			negative		-0.536
exaggerate_action		negative		-0.5
exaggerate_height		negative		-0.58
exaggerate_story		negative		-0.554
exaggerate_wealth		negative		-0.579
exasperate			negative		-0.635
exasperated			negative		-0.603
exasperating			negative		-0.566
exasperation			negative		-0.651
excellent			positive		0.638
exceptional			positive		0.644
excessive_drinking		negative		-0.59
excited				positive		0.555
exciting			positive		0.509
exciting_adventure		positive		0.555
exciting_sex			positive		0.557
exclamation			negative		-0.514
excredible			negative		-0.629
excredibly			negative		-0.598
excuse				negative		-0.521
execute_task_well		positive		0.541
exertion			negative		-0.54
exhausted			negative		-0.558
exhaustion			negative		-0.523
exhilarating			positive		0.528
exhilirating			positive		0.545
exhortation			positive		0.62
exit				positive		0.654
exorbitant_interest		negative		-0.541
exorcist			positive		0.578
exotic				positive		0.584
expelled			negative		-0.56
expensive			negative		-0.498
expensive_clothes		positive		0.572
experienced			positive		0.537
expert				positive		0.541
expertise			positive		0.541
expletive			negative		-0.561
exploit				negative		-0.491
exploit_money			negative		-0.58
exploitation			negative		-0.571
exploitative			negative		-0.536
explosion			negative		-0.278
expose_fraud			negative		-0.569
exposed				negative		-0.256
express_anger			negative		-0.614
express_gratitude		positive		0.563
expressionless			negative		-0.559
extended_punishment		negative		-0.5
extra				negative		-0.551
extra_duties			negative		-0.252
extravagant			negative		-0.569
extreme_difficulty		negative		-0.488
extremely_happy			positive		0.586
eye-rolling			negative		-0.541
eye_catching			positive		0.579
eye_kena_stamp			negative		-0.531
eye_power			negative		-0.605
eye_red				negative		-0.554
eye_shape			negative		-0.565
eyeglass_candy			positive		0.663
eyeglass_chocolate		positive		0.536
eyes_got_stamp			negative		-0.502
eyes_kena_stamp			negative		-0.519
eyes_paste_stamp		negative		-0.637
eyes_stick_stamp		negative		-0.564
fa_cai				positive		0.611
fa_dai				negative		-0.496
face_pecah			negative		-0.551
faeces				negative		-0.576
faggy				negative		-0.53
fail				negative		-0.623
failed_attempt			negative		-0.518
failure				negative		-0.521
faint				negative		-0.523
faint-hearted			negative		-0.633
fair				positive		0.574
fair_game			positive		0.552
fair_skin			positive		0.622
faith_in_god			positive		0.569
faithful			positive		0.524
fake				negative		-0.596
fake_accent			negative		-0.589
fake_cheese_pie			negative		-0.549
fake_identity			negative		-0.626
fake_illness			negative		-0.481
fake_innocence			negative		-0.573
fake_intelligence		negative		-0.563
fake_kindness			negative		-0.563
fake_profile			negative		-0.586
fake_rolex			negative		-0.578
fake_story			negative		-0.561
fakester			negative		-0.586
fall				negative		-0.623
fall_in				negative		-0.503
fall_out			negative		-0.582
fallback			positive		0.562
false_information		negative		-0.586
false_praise			negative		-0.643
familee				negative		-0.609
family				positive		0.51
family_feast			positive		0.546
family_gathering		positive		0.622
family_reunion			positive		0.546
famished			negative		-0.585
famous				positive		0.573
fan_choy			positive		0.517
fanatic				negative		-0.572
fancy_gems			positive		0.507
fang_fei_ji			negative		-0.639
fang_pi				negative		-0.553
fang_xin			positive		0.534
fantastic			positive		0.626
far_off_place			negative		-0.55
fark				negative		-0.563
farker				negative		-0.535
fart				negative		-0.553
fartxplosion			negative		-0.611
fascination			positive		0.518
fashion				positive		0.593
fashionable			positive		0.589
fashionista			positive		0.587
fast_food			positive		0.532
fast_game			positive		0.526
fast_heartbeat			positive		0.613
fast_worker			positive		0.477
faster_cheaper_better		negative		-0.571
fasting				positive		0.601
fat				negative		-0.599
fat_choy			positive		0.579
fat_die_me			negative		-0.545
fat_person			negative		-0.625
fatal_disease			negative		-0.547
father				positive		0.555
fatigue				negative		-0.558
fatso				negative		-0.528
fatsy				negative		-0.474
fatt_koh			positive		0.541
fattening			negative		-0.545
fatty_bom_bom			negative		-0.501
fatty_fatty_bom_bom		negative		-0.625
fatty_pork			positive		0.562
fault				negative		-0.566
fault-finding			negative		-0.59
fault_finding			negative		-0.587
faultless			positive		0.558
faulty				negative		-0.571
favor				positive		0.588
favor_white_culture		negative		-0.562
favorable			positive		0.589
favorable_grade			positive		0.607
favourite			positive		0.569
fcuk				negative		-0.506
fear_consequence		negative		-0.584
fear_death			negative		-0.482
fear_government			negative		-0.613
fear_losing_out			negative		-0.573
fear_trouble			negative		-0.558
feared				negative		-0.553
fearless			positive		0.623
fearsome			negative		-0.66
feathered_toy			positive		0.551
feces				negative		-0.576
fed_up				negative		-0.55
feeble				negative		-0.536
feel_down			negative		-0.62
feeling				negative		-0.599
feeling_feeling			negative		-0.591
feeweet				positive		0.609
feign_ignorance			negative		-0.53
female				negative		-0.513
female_flirt			negative		-0.57
female_pimp			negative		-0.559
female_vampire			negative		-0.238
feng				positive		0.616
feng_shui			positive		0.544
fermented			positive		0.559
fermented_bean_curd		positive		0.593
fermented_shrimp		positive		0.604
fermented_soybean		positive		0.55
fermented_soybean_curd		positive		0.573
fermented_soybean_paste		positive		0.551
festival_of_lights		positive		0.546
fetch				positive		0.553
fever				negative		-0.578
fever_high			positive		0.576
fevret				positive		0.569
fiak				negative		-0.54
fiction				negative		-0.649
fictional			negative		-0.554
fidgety				negative		-0.554
field_camp			negative		-0.533
field_report			positive		0.583
fierce				positive		0.616
fierce-looking			negative		-0.575
fiery				positive		0.59
fig				positive		0.555
fight				negative		-0.478
fighter				negative		-0.57
fighting			positive		0.512
filling				positive		0.595
film_extra			negative		-0.592
filthy				negative		-0.639
final_reminder			negative		-0.489
financial_insecurity		negative		-0.547
financial_loss			negative		-0.578
financially_secure		positive		0.638
find_fault			negative		-0.597
find_pasal			negative		-0.622
find_trouble			negative		-0.509
fine				positive		0.579
finely_chopped			positive		0.593
finger_itchy			negative		-0.632
finger_pointing			negative		-0.573
finish_work			positive		0.576
finished			positive		0.568
finishing_touch			positive		0.578
fire				negative		-0.531
fired				negative		-0.545
firm				positive		0.545
first-come_first-serve		positive		0.476
fish				positive		0.56
fish-shaped			positive		0.568
fish_dumpling			positive		0.544
fish_gravy			positive		0.629
fish_head_curry			positive		0.62
fish_muruku			positive		0.54
fish_seller			negative		-0.51
fish_species			positive		0.506
fish_stew			positive		0.558
fishball			positive		0.644
fishcake			positive		0.612
fishy				negative		-0.552
fist_fight			negative		-0.57
fit				positive		0.557
fitspo				positive		0.557
five_spice_powder		positive		0.587
five_stone			positive		0.611
fizzy_cola			positive		0.494
fizzy_drink			positive		0.521
flair				positive		0.568
flaky_pastry			positive		0.541
flaky_skin			positive		0.634
flamboyant			negative		-0.594
flashy				negative		-0.589
flashy_fashion			negative		-0.526
flat				negative		-0.569
flat-chested			negative		-0.554
flat_egg_noodles		positive		0.488
flat_rice_noodles		positive		0.601
flat_seeds			positive		0.614
flat_spiral_dough		positive		0.506
flat_tire			negative		-0.569
flat_yellow_noodles		positive		0.49
flatbread			positive		0.516
flatter_excessively		negative		-0.559
flatulence			negative		-0.576
flavor_dish			positive		0.53
flavored_rice			positive		0.55
flavorful			positive		0.613
flawless			positive		0.558
flesh				positive		0.58
fleshy				positive		0.607
flesy				positive		0.545
flexible			positive		0.473
flexible_schedule		positive		0.544
flip				positive		0.608
flip-flopping			negative		-0.527
flip_eraser			positive		0.547
flip_prata			negative		-0.599
flip_prata_fnb			positive		0.608
flippant			negative		-0.55
flirt				negative		-0.597
flirtatious			negative		-0.615
flooding			negative		-0.52
flop				negative		-0.623
flour_pancake			positive		0.579
flower-shaped			positive		0.644
flu				negative		-0.474
fluffy				positive		0.654
flushed				negative		-0.607
flustered			negative		-0.634
fly_aeroplane			negative		-0.601
fly_kite			negative		-0.57
fly_me_aeroplane		negative		-0.573
flying_fish_biscuit		positive		0.568
fobia				negative		-0.537
focused				positive		0.631
fold_paper			positive		0.569
fond				positive		0.581
fondness			positive		0.487
fong_fei_gei			negative		-0.623
foochow_fishball		positive		0.548
food				positive		0.596
food_to_go			positive		0.547
food_truck			positive		0.649
food_wrapper			positive		0.564
fool				negative		-0.509
fool_around			negative		-0.535
foolhardy			negative		-0.511
foolish				negative		-0.549
foot-shaped			positive		0.582
foot_odor			negative		-0.564
football			positive		0.599
football_bet			positive		0.591
for_all_you_know		negative		-0.227
forbidden			negative		-0.608
forbidden_by_islam		negative		-0.576
forced				negative		-0.625
forced_to_leave			negative		-0.56
forceful			negative		-0.552
foreign_devil			negative		-0.542
foreign_talent			negative		-0.542
foreign_worker			negative		-0.566
foreigner			negative		-0.573
foremost			positive		0.527
forest_frog			positive		0.65
forget_it			negative		-0.525
forgetful			negative		-0.555
forgive				positive		0.632
forgiving			positive		0.51
forgo				negative		-0.548
forgotten			negative		-0.534
forlorn				negative		-0.55
formation			positive		0.585
former				negative		-0.603
former_lover			negative		-0.603
former_president		negative		-0.503
fortunate			positive		0.574
fortune				positive		0.63
forum				negative		-0.65
forum_user			negative		-0.624
forward_thinking		positive		0.612
foul_behaviour			negative		-0.514
foul_odor			negative		-0.593
fox_spirit			negative		-0.64
foya_foya			negative		-0.569
fragile				negative		-0.633
fragrant			positive		0.577
frail				negative		-0.633
frantic				negative		-0.488
fraud				negative		-0.572
fraudster			negative		-0.561
freak				negative		-0.178
freaking			negative		-0.544
freaktard			negative		-0.585
freaky				negative		-0.652
free-range			positive		0.514
free_and_easy			positive		0.544
free_flow			positive		0.605
free_from_authority		positive		0.53
free_of_charge			positive		0.52
free_ride			positive		0.584
freedom				positive		0.572
freelance			positive		0.57
freeze_and_melt			positive		0.623
french_baguette			positive		0.593
french_loaf			positive		0.524
frequent_break_up		negative		-0.611
frequently_eat			negative		-0.515
frequently_play			negative		-0.535
frequently_sit_around		negative		-0.617
frequently_sleep		negative		-0.513
fresh				positive		0.587
fresh_meat			positive		0.599
fresh_produce			positive		0.599
freshwater_prawn		positive		0.58
freshwater_shrimp		positive		0.591
frick				negative		-0.552
fricktard			negative		-0.563
fried				positive		0.608
fried_bean_curd			positive		0.623
fried_bee_hoon			positive		0.593
fried_egg			positive		0.51
fried_eggplant			positive		0.628
fried_fish			positive		0.59
fried_pancake			positive		0.627
friend				positive		0.552
friendly			positive		0.613
friendly_banter			positive		0.543
friendly_gesture		positive		0.644
friendship			positive		0.614
fright				negative		-0.587
frightened			negative		-0.613
frightening			negative		-0.246
fritter				positive		0.607
frivolous			negative		-0.514
frivolous_remark		negative		-0.519
frothed_milk			positive		0.48
fruit				positive		0.607
fruit_juice			positive		0.563
fruit_rojak			positive		0.515
fruit_tea			positive		0.603
fruity				positive		0.558
frus				negative		-0.578
fry				positive		0.562
fu_er_dai			negative		-0.555
fu_yu				positive		0.573
fuck				negative		-0.552
fuck_atas_bawah			negative		-0.58
fuck_care			negative		-0.534
fuck_off			negative		-0.541
fuck_spider			negative		-0.479
fuck_upside_down		negative		-0.606
fuck_you			negative		-0.561
fucked_up			negative		-0.511
fucker				negative		-0.551
fucking_ugly			negative		-0.573
fuckshop			negative		-0.535
fucktard			negative		-0.602
fugly				negative		-0.573
fuh				positive		0.59
fulamak				positive		0.585
fulfilled			positive		0.547
fulfilling			positive		0.623
full_meal			positive		0.6
full_of_oneself			negative		-0.624
full_of_shit			negative		-0.587
full_responsibility		negative		-0.526
full_stomach			positive		0.599
full_tank			positive		0.55
full_time			positive		0.585
fumble				negative		-0.58
fun				positive		0.508
funeral				negative		-0.657
fungus				negative		-0.564
funny				positive		0.614
funny_looking			negative		-0.62
furious				negative		-0.545
fury				negative		-0.635
fusion_dish			positive		0.583
fuss				negative		-0.591
fussy				negative		-0.56
futile				negative		-0.598
fuyoh				positive		0.536
fwah				positive		0.497
fwuh				positive		0.612
gabra				negative		-0.491
gado_gado			positive		0.602
gadoh				negative		-0.545
gag				negative		-0.559
gagah				positive		0.555
gah				negative		-0.572
gahmen				negative		-0.518
gain_face			positive		0.555
gain_reputation			positive		0.555
gain_weight			negative		-0.545
gaji_buta			negative		-0.574
galangal			positive		0.566
gallivant			negative		-0.603
gam_sia				positive		0.556
gamble				negative		-0.496
gambler				negative		-0.628
gambling			negative		-0.633
gambling_addict			negative		-0.611
game				negative		-0.546
game_over			negative		-0.221
game_partner			positive		0.541
gamsahae			positive		0.637
gamsahaeyo			positive		0.614
gamsahamida			positive		0.653
gamsahamnida			positive		0.548
gamsiahamida			positive		0.526
gamsiahamnida			positive		0.521
gan_bei				positive		0.639
gan_dong			positive		0.54
gan_lau_mian			positive		0.615
gan_qing			positive		0.614
gandos				positive		0.593
gandos_ubi			positive		0.533
gang				negative		-0.513
gang_fight			negative		-0.503
gang_leader			negative		-0.553
gang_member			negative		-0.535
gang_up				negative		-0.542
gangster			negative		-0.535
ganja				negative		-0.546
ganjaa				negative		-0.625
gao_cuo				negative		-0.501
gao_dim_sai			positive		0.568
gao_ding			positive		0.564
gao_fu_shuai			positive		0.533
gao_kway_nrng			positive		0.592
gao_tak_chek			positive		0.619
gao_teng_gi			negative		-0.657
gaowei				negative		-0.606
garam_masala			positive		0.61
garang				positive		0.547
garlic				positive		0.583
garlic_butter_prata		positive		0.528
garlic_chives			positive		0.54
garlic_prata			positive		0.573
gasak				negative		-0.612
gasak_buta			negative		-0.621
gasak_lah			negative		-0.537
gasing				positive		0.622
gatal				negative		-0.511
gathering			positive		0.525
gau				positive		0.523
gau_mm_tim			negative		-0.488
gauge				positive		0.516
gay				negative		-0.571
gay_person			negative		-0.528
gedempol			negative		-0.597
geek				negative		-0.575
geeky				negative		-0.574
gei_lou				negative		-0.528
gei_yan				positive		0.624
gek_sim				negative		-0.587
gelatin				positive		0.537
gem				positive		0.547
gembeng				negative		-0.529
gempal				negative		-0.506
gemuk				negative		-0.54
gemuk_gedempol			negative		-0.579
gendut				negative		-0.618
generous			positive		0.558
geng				negative		-0.578
geng_bang			negative		-0.608
genital				positive		0.596
geragok				negative		-0.529
geram				negative		-0.624
gerek				positive		0.578
german_brewery			positive		0.654
get_a_grip			negative		-0.543
get_high			positive		0.58
get_hit				negative		-0.581
get_insufficient_respect	negative		-0.502
get_rich			positive		0.537
get_screwed_over		negative		-0.568
get_what_one_deserve		negative		-0.528
getai				positive		0.629
getuk_getuk			positive		0.574
getuk_ubi			positive		0.584
gg				negative		-0.289
ggwp				negative		-0.221
ggxx				negative		-0.21
ghee				positive		0.528
ghee_cookie			positive		0.606
ghost				negative		-0.615
gi_mampoi			negative		-0.583
gi_mampus			negative		-0.639
gi_mati				negative		-0.598
giah_lum_pa_chut_lai_tom_to_teng	negative		-0.583
gian_png			negative		-0.555
gibberish			negative		-0.61
gigolo				negative		-0.54
gila				negative		-0.562
gila_arak			negative		-0.538
gila_bab			negative		-0.504
gila_babi			negative		-0.592
gila_betina			negative		-0.58
gila_bodek			negative		-0.582
gila_botol			negative		-0.529
gila_dadah			negative		-0.552
gila_duit			negative		-0.557
gila_gossip			negative		-0.598
gila_hutang			negative		-0.495
gila_jantan			negative		-0.57
gila_judi			negative		-0.611
gila_kuasa			negative		-0.547
gila_lelaki			negative		-0.575
gila_money			negative		-0.588
gila_pangkat			negative		-0.561
gila_perempuan			negative		-0.529
gila_pompuan			negative		-0.625
gila_rank			negative		-0.504
gila_rasuah			negative		-0.527
gila_talak			negative		-0.528
gila_wang			negative		-0.48
gin				positive		0.612
ginger				positive		0.567
ginger_sauce			positive		0.601
ginger_tea			positive		0.509
ginna_kuan			negative		-0.544
ginna_pi			negative		-0.565
girl				positive		0.565
girlfriend			positive		0.517
give_chance			positive		0.478
give_face			positive		0.558
give_me_a_break			negative		-0.616
give_offering			positive		0.582
give_up				negative		-0.547
glad				positive		0.624
glam				positive		0.502
glamorous			positive		0.502
glare				negative		-0.511
glass_noodles			positive		0.531
gloat				negative		-0.563
gloomy				negative		-0.62
glowing				positive		0.61
glue_sniffing			negative		-0.628
glutinous_rice			positive		0.563
glutinous_rice_ball		positive		0.627
glutinous_rice_cake		positive		0.563
glutinous_rice_flour		positive		0.543
glutton				negative		-0.61
gluttony			negative		-0.618
go				positive		0.654
go_and_die			negative		-0.607
go_away				negative		-0.607
go_broke			negative		-0.553
go_crazy			negative		-0.22
go_die				negative		-0.609
go_easy				positive		0.544
go_fly_kite			negative		-0.541
go_fuck_spider			negative		-0.585
go_jump_down			negative		-0.593
go_mampoi			negative		-0.636
go_mampus			negative		-0.563
go_mati				negative		-0.521
go_together			positive		0.62
go_well				positive		0.643
gobble				negative		-0.61
god				positive		0.558
god-like			positive		0.61
god_damn_it			negative		-0.554
god_is_great			positive		0.551
god_is_perfect			positive		0.551
god_is_the_greatest		positive		0.619
god_willing			positive		0.569
goddammit			negative		-0.554
goddess				positive		0.572
godlike				positive		0.607
gold				positive		0.547
gold_coin_chocolate		positive		0.527
gold_jewellery			negative		-0.552
gold_wrapper			positive		0.527
golden_cheese_pie		negative		-0.586
goli				positive		0.511
gone_case			negative		-0.63
gong				negative		-0.625
gong_dai_dai			negative		-0.572
gong_dua_dai			negative		-0.553
gong_gong			negative		-0.56
gong_gong_dai_dai		negative		-0.535
gong_gong_jia_ti_kong		positive		0.495
gong_hei_fat_choy		positive		0.509
gong_kia			negative		-0.622
gong_koay			negative		-0.6
gong_lang			negative		-0.589
gong_lanjiao_wei		negative		-0.546
gong_tao			negative		-0.643
gong_xi				positive		0.517
gong_xi_fa_cai			positive		0.511
gongfu				positive		0.573
gongxi_raya			positive		0.554
good				positive		0.593
good_benefit			positive		0.652
good_business			positive		0.575
good_buy			positive		0.611
good_condition			positive		0.549
good_deal			positive		0.588
good_deed			positive		0.54
good_fertility			positive		0.604
good_food			positive		0.548
good_for_nothing		negative		-0.608
good_fortune			positive		0.528
good_friend			positive		0.633
good_grade			positive		0.619
good_intention			positive		0.617
good_learning_environment	positive		0.565
good_life			positive		0.574
good_looking			positive		0.529
good_luck			positive		0.624
good_memory			positive		0.549
good_person			positive		0.492
good_personality		positive		0.499
good_purchase			positive		0.623
good_quality			positive		0.499
good_relationship		positive		0.505
good_sport			positive		0.613
good_taste			positive		0.585
good_very_good			negative		-0.617
goondu				negative		-0.546
gor_chiam_tua_guay_gu_chia_leng	negative		-0.609
gorblok				negative		-0.577
goreng				negative		-0.518
goreng_pisang			positive		0.585
gorg				positive		0.591
gorgeous			positive		0.591
gossip				negative		-0.508
gossip_addict			negative		-0.58
got_eye_see_no_tarzan		negative		-0.505
got_license			positive		0.645
got_link_got_talk		positive		0.578
got_video_got_talk		positive		0.517
government_job			positive		0.609
government_mouthpiece		negative		-0.543
government_scholarship		negative		-0.572
goyang_kaki			negative		-0.561
goyang_leg			negative		-0.573
grab_attention			positive		0.58
grab_everything			negative		-0.594
grab_opportunity		positive		0.636
grade_chaser			negative		-0.485
grand_event			positive		0.557
grandfather			positive		0.621
grandfathers_army		negative		-0.588
grandfathers_road		negative		-0.565
grandmother			positive		0.629
granulated			positive		0.557
grass_jelly			positive		0.548
grated_coconut			positive		0.584
grated_radish			positive		0.577
grated_turnip			positive		0.61
grateful			positive		0.653
gratified			positive		0.512
grating				positive		0.575
gratitude			positive		0.526
gravy				positive		0.578
greasy				negative		-0.582
greasy_food			negative		-0.498
great				positive		0.627
great_achievement		positive		0.617
great_irritation		negative		-0.488
great_monster			positive		0.582
greedy				negative		-0.536
green_bean			positive		0.53
